ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
327,27,8,Rs 12 lacs,354938,2,0.05,Bachelors,0.0,0,1,0,0,1
328,57,37,22.44,485254,5,0.12,Bachelors,4.32,1,1,0,1,0
329,47yrs,29,20.32,547189,0,0.25,Post Graduate,15.8,0,1,0,1,0
330,28,8,30.34,176656,2,0.18,12th or less,13.14,1,1,1,0,0
331,34,16,7.1,411249,0,0.18,Bachelors,7.15,0,1,1,1,0
332,35,13,14.51,554999,5,0.26,12th or less,16.26,1,0,0,0,1
333,27yrs 6 months,8,20.74,773316,0,0.44,Post Graduate,21.5,1,0,0,1,0
334,53yrs,33,12.75,370528,1,0.26,Bachelors,8.42,1,0,1,0,1
335,54,34,16.15,144683,5,0.43,12th or less,3.41,1,1,0,0,1
336,24,4,n/a,650840,1,0.05,Bachelors,0.0,1,1,0,1,1
337,21,1,32.07,160892,12,1.02,Bachelors,20.56,1,1,0,0,1
338,61,39,27.44,626940,2,0.46,Bachelors,16.77,0,0,1,0,0
339,34,16,16.58,742282,5,0.23,Bachelors,11.79,1,1,0,1,0
340,51yrs 10 months,31,21.57,924153,3,0.62,12th or less,26.72,1,1,1,1,0
341,58yrs 9 months,37,unemployed,447715,3,0.05,Post Graduate,0.0,1,0,0,1,1
342,40,20,Rs 18 lacs,741955,5,0.05,Bachelors,0.0,1,0,1,0,1
343,23yrs,2,55.8,467634,4,0.76,12th or less,39.26,0,1,1,1,1
344,55,34,18.27,587963,4,0.4,Post Graduate,6.75,1,0,0,1,1
345,53,35,42.92,311002,5,0.56,Post Graduate,40.61,1,0,0,1,1
346,35,15,6.05,840109,2,0.19,Bachelors,4.77,0,0,1,1,0
347,23yrs 5 months,n/a,38.14,486416,2,0.88,Bachelors,38.78,0,0,1,1,0
348,48yrs,30,26.1,832614,2,0.81,12th or less,9.04,1,0,1,1,1
349,47yrs,25,15.29,523148,5,0.14,Post Graduate,7.84,1,0,1,1,0
350,53yrs,32,23.32,311752,4,0.47,12th or less,20.64,1,1,0,1,0
351,39,19,37.54,501248,4,0.76,12th or less,19.87,1,0,0,1,0
352,53,32,22.86,476412,2,0.1,12th or less,25.49,1,0,1,1,1
353,51,32,15.36,194481,0,0.29,12th or less,13.98,1,0,0,1,0
354,24yrs 11 months,2,19.49,387931,4,0.24,Bachelors,4.79,1,0,1,0,1
355,52yrs,32,20.36,989007,5,0.46,Bachelors,19.51,0,1,1,0,0
356,62yrs 6 months,42,29.99,822678,2,0.91,12th or less,7.09,1,1,1,1,1
357,48,29,9.25,274358,3,0.25,12th or less,10.41,1,0,0,0,1
358,36,n/a,unemployed,653340,2,0.05,Bachelors,0.0,0,1,1,1,0
359,63yrs,43,14.83,720141,1,0.28,Bachelors,2.51,1,0,0,1,0
360,48,30,31.37,960629,0,0.6,Bachelors,39.1,1,1,1,0,1
361,35,14,unemployed,886645,5,0.05,12th or less,0.0,1,1,0,0,1
362,42yrs 6 months,24,n/a,938902,2,0.05,Bachelors,0.0,1,0,0,1,0
363,51,n/a,20.81,521835,5,0.22,Post Graduate,23.9,1,1,1,0,0
364,41,19,27.23,458653,2,0.66,Bachelors,9.13,0,0,0,0,1
365,52,31,19.24,818469,2,0.3,12th or less,4.96,1,0,1,1,0
366,27yrs,,50.82,807831,5,1.58,Bachelors,25.44,1,0,0,1,1
367,53yrs,35,13.9,431832,5,0.1,12th or less,12.47,1,1,0,1,1
368,28yrs,10,19.65,500387,5,0.41,12th or less,12.41,1,0,0,0,0
369,34yrs,16,14.87,690825,5,0.41,Bachelors,7.81,0,0,0,1,0
370,45,27,13.42,360840,4,0.08,Post Graduate,8.61,1,0,1,0,1
371,52yrs,n/a,Rs 37 lacs,608377,2,0.05,Bachelors,0.0,0,1,1,0,1
372,48yrs 6 months,29,unemployed,996808,5,0.05,Bachelors,0.0,1,1,1,1,0
373,22,0,11.67,317747,1,0.34,12th or less,4.82,1,1,1,0,1
374,37yrs 11 months,17,37.33,384709,3,1.22,12th or less,24.47,0,1,0,1,0
375,47,25,28.32,463893,4,0.49,12th or less,35.65,0,1,1,1,1
376,22yrs 1 months,0,35.59,479619,2,0.85,12th or less,43.3,0,0,0,0,0
377,28,6,16.28,674580,1,0.18,Bachelors,14.04,1,0,0,0,1
378,58,36,Rs 47 lacs,874049,4,0.05,Post Graduate,0.0,1,1,1,0,1
379,40,19,unemployed,466427,1,0.05,Bachelors,0.0,0,0,0,0,1
380,57yrs 7 months,35,19.55,130265,5,0.44,Bachelors,5.22,1,1,0,0,1
381,41yrs 6 months,21,32.34,426843,2,1.04,Bachelors,34.5,0,0,1,0,1
382,46yrs 3 months,25,21.45,888925,4,0.69,12th or less,27.48,0,0,1,0,0
383,51yrs 3 months,30,98.5,405506,2,1.58,12th or less,57.72,1,1,1,1,0
384,40,19,unemployed,441385,4,0.05,Bachelors,0.0,1,1,1,0,1
385,26yrs,6,9.24,244595,0,0.2,12th or less,11.41,1,1,0,0,1
386,35,14,39.18,136212,0,0.84,12th or less,11.9,1,0,0,1,1
387,21,0,33.69,410843,2,0.7,Bachelors,30.27,1,n/a,1,0,1
388,46yrs,27,17.93,883314,1,0.54,Post Graduate,9.24,1,1,1,1,0
389,49yrs 2 months,29,13.06,245091,4,0.4,12th or less,9.83,1,1,1,0,1
390,22,0,41.32,806357,3,0.3,Bachelors,49.32,0,0,0,1,0
391,42,24,14.71,669146,4,0.15,12th or less,9.67,1,0,1,1,0
392,49,28,60.79,615258,4,0.54,12th or less,32.29,1,1,1,1,0
393,29yrs 5 months,10,28.1,878609,4,0.46,Bachelors,23.55,0,0,0,1,1
394,61,43,13.96,138029,5,0.25,Post Graduate,6.75,1,n/a,0,1,0
395,41,23,10.73,152660,1,0.32,Post Graduate,5.24,0,1,0,0,0
396,52yrs 7 months,34,12.69,870037,1,0.22,Bachelors,10.15,1,0,1,0,1
397,52,34,21.44,968144,4,0.7,12th or less,18.78,1,0,0,1,0
398,64,46,11.8,211306,3,0.09,Bachelors,10.12,1,0,1,0,1
399,60yrs,42,18.66,996736,2,0.28,12th or less,15.51,1,0,1,0,0
400,46yrs,28,n/a,888839,0,0.05,12th or less,0.0,0,0,0,0,0
401,33yrs 5 months,12,21.26,791579,1,0.57,Bachelors,5.61,1,1,1,0,1
402,23yrs,n/a,35.25,909416,3,0.64,12th or less,12.66,1,0,1,1,1
403,52yrs 6 months,34,27.14,728117,0,0.46,Post Graduate,33.71,0,0,1,0,1
404,53yrs 11 months,35,23.19,103759,4,0.42,Post Graduate,12.59,1,1,1,1,0
405,53,32,6.55,400081,5,0.21,12th or less,4.1,1,0,1,0,0
406,62,41,15.92,205825,4,0.46,Bachelors,16.25,0,1,1,1,0
407,62yrs 7 months,41,47.73,654362,5,0.28,Post Graduate,33.16,1,1,0,0,1
408,33,15,17.24,284933,4,0.15,12th or less,12.16,1,1,0,1,1
409,63,44,unemployed,802105,1,0.05,Bachelors,0.0,1,0,1,1,1
410,26,5,17.57,692908,1,0.22,12th or less,13.532,1,0,1,0,0
411,24yrs 3 months,5,11.72,722621,2,0.1,Post Graduate,11.91,1,1,1,1,1
412,58,37,20.33,440697,2,0.17,Bachelors,9.47,1,0,0,0,1
413,26,6,Rs 18 lacs,123125,4,0.05,Bachelors,0.0,1,1,1,1,0
414,23,4,9.76,878672,1,0.22,Post Graduate,8.35,1,0,0,1,1
415,47yrs 8 months,29,12.25,295295,5,0.11,Post Graduate,5.44,1,1,1,1,1
416,60yrs,n/a,Rs 22 lacs,791956,2,0.05,Bachelors,0.0,1,1,0,1,0
417,40,20,n/a,825879,1,0.05,Bachelors,0.0,0,1,1,0,0
418,38yrs,17,31.19,425517,3,0.67,Bachelors,32.23,0,1,0,0,1
419,40yrs 7 months,18,24.07,450480,0,0.14,Bachelors,27.45,1,1,0,0,0
420,50yrs,30,41.42,125333,2,1.29,12th or less,22.23,1,0,1,0,1
421,30yrs 2 months,10,37.64,762422,0,0.93,Post Graduate,15.05,1,0,0,1,1
422,43yrs 4 months,23,23.46,248923,3,0.5,12th or less,16.95,1,1,0,1,1
423,23,1,29.09,150934,5,0.5,12th or less,27.54,0,n/a,0,1,1
424,29,9,unemployed,141882,3,0.05,Bachelors,0.0,0,n/a,1,1,0
425,39yrs,18,16.3,513285,1,0.46,Bachelors,13.62,0,1,1,0,1
426,56,34,13.91,626432,2,0.4,12th or less,17.13,0,0,0,1,1
427,60,39,10.05,346931,2,0.05,Bachelors,11.15,0,1,0,0,0
428,47yrs,25,33.11,864815,0,0.22,Bachelors,18.44,1,1,0,0,0
429,62,42,8.45,825713,1,0.15,12th or less,5.74,1,1,0,1,0
430,48yrs,26,28.87,262322,4,0.81,12th or less,14.69,1,1,0,0,0
431,63,45,5.2,891239,1,0.13,12th or less,6.3,0,1,0,0,1
432,28yrs,8,20.14,350427,5,0.2,12th or less,13.82,0,1,0,1,1
433,62yrs 8 months,42,unemployed,457439,0,0.05,12th or less,0.0,1,0,1,1,0
434,28yrs,7,15.97,178966,4,0.49,12th or less,6.54,0,1,1,0,0
435,38,n/a,n/a,357324,0,0.05,Post Graduate,0.0,1,0,1,0,1
436,41,,17.26,784526,2,2.84,Bachelors,19.13,0,1,1,1,1
437,33yrs,13,15.29,300889,3,0.18,Bachelors,19.44,1,0,0,0,0
438,47yrs 11 months,27,24.84,717792,3,0.76,12th or less,10.15,1,1,1,1,0
439,60yrs,42,10.09,360794,2,0.18,Bachelors,11.29,1,n/a,1,1,1
440,36,17,unemployed,104815,2,0.05,12th or less,0.0,0,1,1,1,1
441,60,41,30.54,589902,1,0.56,Post Graduate,12.86,1,0,1,0,1
442,29yrs,9,47.79,495513,2,1.3,Post Graduate,54.88,0,0,0,1,1
443,47yrs,,64.24,496437,0,0.48,Post Graduate,14.45,1,1,1,0,0
444,37yrs 11 months,15,n/a,248800,0,0.05,Bachelors,0.0,1,0,0,0,1
445,23yrs,,19.78,908725,3,0.37,12th or less,14.92,1,1,1,0,1
446,24,3,24.49,365896,3,0.78,Post Graduate,30.84,1,0,0,1,0
447,60yrs,42,16.4,822999,2,0.39,12th or less,20.2,1,0,1,1,1
448,21,0,64.93,495066,5,1.13,12th or less,56.94,1,1,0,0,1
449,34yrs,13,28.46,858881,2,0.76,12th or less,24.54,1,0,1,1,0
450,28,8,12.59,677441,0,0.37,12th or less,10.63,0,0,1,0,0
451,27yrs,8,35.38,928326,5,1.04,Bachelors,34.28,1,0,0,0,1
452,50yrs,30,20.37,557321,3,0.67,Bachelors,23.95,0,1,0,0,0
453,45yrs,26,23.75,702857,4,0.33,Bachelors,9.58,1,n/a,1,0,1
454,59yrs 1 months,38,19.78,768271,4,0.65,Bachelors,3.35,1,0,1,0,0
455,36yrs 10 months,,29.56,932528,1,0.62,Post Graduate,35.63,0,0,0,1,1
456,31yrs,13,25.23,983502,4,0.67,12th or less,21.2,1,1,1,0,0
457,45yrs,26,Rs 51 lacs,854110,2,0.05,12th or less,0.0,1,0,1,1,0
458,53yrs,,34.93,793029,3,0.87,12th or less,41.37,1,0,1,1,1
459,41yrs,22,8.26,558217,1,0.16,Bachelors,5.17,0,1,0,0,0
460,30,10,23.43,377885,5,0.38,12th or less,26.95,1,1,0,1,0
461,29yrs 4 months,n/a,27.49,692289,3,0.73,Post Graduate,25.11,0,1,0,1,1
462,21yrs,0,42.18,440759,2,0.24,Post Graduate,10.05,1,1,1,0,1
463,54yrs 8 months,34,9.01,723899,2,0.29,12th or less,5.33,1,0,0,0,0
464,51,32,88.73,606285,2,2.86,Bachelors,19.96,1,0,1,1,0
465,41,23,26.32,666548,2,0.3,Bachelors,10.5,1,0,1,0,1
466,44yrs 6 months,23,45.78,655055,5,1.36,12th or less,52.02,1,1,1,0,0
467,39yrs,19,14.13,121382,5,0.25,Post Graduate,14.93,0,1,0,1,0
468,41,22,36.69,384441,2,1.09,Post Graduate,54.502,1,1,1,1,0
469,45yrs,27,n/a,110759,4,0.05,Bachelors,0.0,1,1,0,0,1
470,40yrs,18,unemployed,187001,1,0.3,Bachelors,0.0,1,0,0,0,0
471,46yrs,26,49.66,387090,1,0.83,Post Graduate,64.03,0,0,1,1,0
472,27yrs 6 months,5,unemployed,759442,3,0.05,Bachelors,0.0,0,1,0,0,0
473,23,5,7.02,583437,4,0.05,Bachelors,5.75,1,1,1,1,0
474,60,42,27.39,265131,3,0.38,Bachelors,40.052,1,0,1,0,0
475,28,10,15.9,869677,2,0.42,Bachelors,5.43,1,1,0,0,0
476,50,30,14.34,338471,3,0.14,12th or less,15.25,0,1,0,0,0
477,31yrs 7 months,n/a,69.91,117706,5,2.23,Bachelors,81.78,0,n/a,0,1,1
478,28yrs,7,23.74,365265,2,0.35,12th or less,6.92,0,1,0,1,0
479,57yrs 11 months,,26.6,728408,0,0.58,12th or less,28.89,1,0,1,1,1
480,37yrs,16,31.92,974158,5,1.97,Bachelors,35.29,0,1,1,1,0
481,28,6,32.38,771495,1,0.88,Bachelors,36.57,0,0,0,0,0
482,64,43,n/a,834682,2,0.05,Bachelors,0.0,1,0,1,1,1
483,50,31,16.16,878464,4,0.28,12th or less,14.93,0,0,1,1,0
484,63yrs,45,24.05,683514,4,0.71,Bachelors,17.2,0,0,1,0,1
485,63,44,26.25,498663,2,0.61,Post Graduate,19.19,1,0,1,0,0
486,36yrs 9 months,15,101.62,753977,4,0.53,Post Graduate,66.96,1,1,0,1,1
487,24yrs 11 months,5,19.02,728384,2,0.22,Post Graduate,4.56,0,0,0,0,1
488,41yrs 8 months,22,23.45,605303,1,0.65,12th or less,7.9,1,1,0,0,1
489,54,34,22.24,865946,1,0.66,Bachelors,26.71,0,0,1,0,0
490,60yrs 11 months,40,30.38,740945,4,0.4,Bachelors,22.41,1,1,0,0,1
491,55yrs 11 months,34,13.61,937338,2,0.42,12th or less,12.21,1,1,0,0,1
492,33yrs 6 months,12,13.71,623229,1,0.07,12th or less,14.99,1,0,1,0,0
493,63yrs,45,27.19,918514,5,0.56,12th or less,31.34,1,1,0,1,0
494,47,25,28.1,330500,5,0.89,Post Graduate,22.58,1,1,0,1,0
495,28,7,unemployed,513329,2,0.05,12th or less,0.0,0,0,1,0,1
496,61yrs,42,Rs 14 lacs,965694,3,0.05,Post Graduate,0.0,0,1,0,1,0
497,62,41,16.26,368525,2,0.07,12th or less,20.86,0,0,1,0,1
498,49yrs,31,Rs 39 lacs,987849,3,0.05,Bachelors,0.0,0,0,1,0,0
499,36yrs 6 months,17,Rs 50 lacs,143816,4,0.05,Bachelors,0.0,0,0,1,1,1
500,63yrs 3 months,44,15.59,242160,2,0.19,Bachelors,19.74,0,n/a,0,1,0
501,25,6,80.65,894735,3,1.95,Post Graduate,99.64,1,0,0,1,1
502,57yrs,36,19.74,680563,5,0.27,Post Graduate,25.51,1,1,1,0,1
503,60yrs,,26.4,654532,0,0.65,Post Graduate,17.48,1,1,0,0,1
504,60,42,24.86,223073,0,0.7,Bachelors,5.24,1,1,0,1,1
505,62yrs 9 months,42,11.67,206836,3,0.1,Bachelors,5.21,1,0,1,0,0
506,30yrs 9 months,8,19.8,673799,0,0.54,12th or less,9.42,1,1,0,0,1
507,35yrs 3 months,17,15.66,649837,0,0.3,Bachelors,3.86,0,1,1,0,0
508,41yrs 8 months,19,10.8,996257,4,0.16,Bachelors,8.27,1,1,0,1,1
509,54yrs,35,22.8,307945,4,0.18,Post Graduate,5.53,1,1,1,1,0
510,42,,29.25,367068,10,0.74,Bachelors,25.62,1,1,1,0,0
511,42,22,Rs 13 lacs,233932,0,0.05,12th or less,0.0,0,0,0,1,0
512,29,8,10.76,635536,3,0.18,12th or less,13.91,0,1,1,0,1
513,46yrs,27,32.36,822904,4,0.68,12th or less,26.02,0,1,0,0,1
514,33yrs,11,40.59,996706,3,0.46,Bachelors,31.36,1,0,0,0,1
515,38,,18.73,742422,4,0.34,12th or less,13.21,1,1,1,1,1
516,21yrs,2,17.57,225344,0,0.35,Bachelors,17.22,0,1,0,0,0
517,43yrs 8 months,25,30.76,981217,2,1.02,Bachelors,32.2,0,1,1,0,1
518,53,32,15.32,829333,1,0.38,12th or less,17.17,1,0,0,1,1
519,51,33,28.42,297797,2,0.32,12th or less,30.22,1,1,0,0,0
520,41yrs,20,21.73,534986,5,0.21,Bachelors,9.47,1,0,0,1,0
521,43yrs,25,18.64,287979,2,0.58,Bachelors,18.27,0,0,0,0,1
522,36,15,26.56,498299,4,0.56,Post Graduate,11.68,1,0,1,0,0
523,47,27,29.02,709231,5,0.34,Bachelors,4.53,1,0,1,1,1
524,57yrs,36,13.84,761035,4,0.07,12th or less,5.33,1,0,1,0,0
525,58,38,23.75,336694,1,0.78,12th or less,15.73,0,1,1,1,1
526,34yrs,16,28.57,346514,3,0.25,Bachelors,24.74,0,0,1,1,1
527,57,36,8.99,460995,1,0.3,Bachelors,10.1,0,1,0,0,0
528,27,7,23.51,899773,1,0.68,Bachelors,22.3,0,1,1,1,1
529,32,10,27.86,826413,1,0.21,12th or less,25.02,0,0,1,0,0
530,48yrs,28,24.62,170000,1,0.62,12th or less,29.23,0,1,1,1,1
531,23yrs,3,32.89,714847,10,0.57,Bachelors,25.43,0,0,0,0,1
532,42yrs 8 months,24,28.14,935472,2,0.12,Bachelors,18.73,0,1,0,1,1
533,41yrs,22,25.09,197569,1,0.24,12th or less,13.73,1,0,0,1,1
534,49yrs 6 months,29,Rs 24 lacs,447609,0,0.05,Bachelors,0.0,0,0,0,1,1
535,40yrs,19,35.54,822194,2,1.07,12th or less,37.37,1,1,1,0,0
536,23,5,17.83,648599,5,0.13,12th or less,18.21,1,0,0,1,0
537,47,26,13.45,876230,4,0.16,12th or less,15.98,0,0,1,1,1
538,41yrs,21,10.91,677698,1,0.57,Bachelors,5.66,1,1,0,1,1
539,61yrs 8 months,43,33.04,129764,5,1.01,Post Graduate,10.3,1,1,0,1,1
540,53yrs,34,33.3,107716,3,1.1,12th or less,17.391000000000002,1,0,0,1,1
541,50yrs 6 months,31,40.45,124969,2,1.24,Post Graduate,22.82,1,0,1,0,0
542,59yrs 3 months,,31.77,398785,4,0.35,12th or less,8.32,1,0,1,1,0
543,61,43,25.27,404296,4,0.53,12th or less,4.58,1,0,0,0,1
544,29yrs 9 months,n/a,30.25,210209,1,0.64,Post Graduate,21.04,1,n/a,1,0,1
545,58,39,14.17,274408,1,0.77,Bachelors,2.49,0,1,1,0,0
546,43,22,18.55,657063,2,0.22,Post Graduate,13.86,1,0,1,0,0
547,43,21,unemployed,920757,5,0.05,Post Graduate,0.0,0,0,1,1,1
548,21,1,unemployed,644056,1,0.05,Bachelors,0.0,1,0,0,0,0
549,41yrs,22,31.29,277805,2,0.58,Bachelors,11.78,1,1,0,0,1
550,52yrs 1 months,30,13.78,206920,1,0.41,12th or less,13.17,0,0,0,0,1
551,65yrs,46,13.39,690587,5,0.15,Bachelors,2.74,1,1,1,0,1
552,46yrs,26,20.27,828477,4,0.27,Post Graduate,3.85,1,1,1,0,1
553,53,34,16.1,848262,4,0.34,Bachelors,13.5,0,0,0,0,0
554,29yrs,10,30.34,766437,1,0.62,Post Graduate,22.13,1,0,1,0,0
555,37yrs 3 months,n/a,20.57,668386,2,0.24,Bachelors,8.14,0,0,0,0,1
556,26,4,11.39,526372,4,0.25,12th or less,7.33,0,0,0,0,1
557,27,6,15.89,970075,2,0.4,Bachelors,9.64,1,0,1,0,0
558,27yrs,8,51.0,609366,1,0.39,12th or less,25.06,1,0,0,0,1
559,57yrs,37,33.61,316502,2,1.07,Post Graduate,8.77,1,0,1,0,0
560,25,6,n/a,780767,5,0.05,12th or less,0.0,0,0,1,1,1
561,53,33,19.44,407252,4,0.38,Post Graduate,6.1,0,1,1,1,0
562,30yrs 2 months,,12.25,892611,3,0.07,Bachelors,9.91,0,1,1,0,1
563,37,16,7.28,729949,4,0.09,Bachelors,3.9,1,0,0,0,0
564,60,41,27.46,333566,3,0.56,12th or less,11.59,1,0,1,0,0
565,48,27,48.08,946052,2,1.37,Post Graduate,24.03,1,0,0,0,1
566,42,21,18.71,385707,1,0.42,Post Graduate,10.84,1,1,1,0,1
567,41,21,23.74,593220,1,0.48,12th or less,26.54,0,1,1,0,1
568,52,33,27.06,745606,3,0.85,Bachelors,12.34,1,1,1,1,0
569,52yrs 11 months,,12.03,750522,3,0.2,Bachelors,14.92,0,0,1,1,0
570,56yrs 7 months,37,21.49,115372,1,1.0,Post Graduate,25.63,1,0,1,0,1
571,51yrs 1 months,33,14.76,169617,2,0.12,Post Graduate,13.94,1,1,0,0,1
572,26yrs,n/a,unemployed,461761,4,0.05,Bachelors,0.0,1,n/a,0,1,0
573,41,19,72.51,614758,4,0.34,12th or less,24.49,1,0,1,1,0
574,55,33,17.29,786512,1,0.44,Bachelors,5.39,1,0,1,0,0
575,34yrs,16,28.03,630526,1,0.59,Bachelors,4.99,0,0,0,0,0
576,43,,n/a,618943,4,0.05,Bachelors,0.0,0,n/a,0,0,1
577,62yrs 6 months,40,16.64,144805,3,0.27,12th or less,19.64,1,1,1,0,1
578,44,22,29.6,698126,5,0.66,Bachelors,29.03,1,0,1,1,1
579,50,28,24.49,694281,0,0.31,Bachelors,28.37,1,0,1,0,0
580,30yrs,10,64.01,453088,3,0.49,12th or less,34.6,1,0,0,0,1
581,25,7,59.3,722029,0,1.23,12th or less,18.03,1,0,1,1,1
582,62yrs,43,5.7,536791,2,0.15,Post Graduate,5.55,1,1,0,0,0
583,50yrs,28,41.58,509606,1,1.19,Bachelors,46.79,1,1,1,1,1
584,27,7,48.37,971642,1,1.59,12th or less,44.89,1,1,1,1,1
585,26,7,19.73,309065,4,0.1,Post Graduate,14.0,1,1,0,1,0
586,28,,39.15,598098,2,1.21,Post Graduate,6.07,1,1,0,0,1
587,46yrs,27,24.42,140777,3,0.42,Post Graduate,5.04,1,1,1,0,1
588,38,19,27.41,681043,0,0.76,Post Graduate,9.22,1,1,0,0,1
589,56yrs,37,17.86,878368,3,0.16,12th or less,5.7,1,0,0,1,0
590,46,24,12.17,232022,3,0.05,Post Graduate,14.51,0,1,1,0,1
591,56yrs,36,31.37,726513,4,0.73,Bachelors,38.12,1,1,1,1,0
592,61yrs 10 months,42,42.04,657242,0,1.22,Post Graduate,18.38,1,0,0,0,1
593,24yrs,5,54.15,998258,0,0.47,Post Graduate,67.62,1,0,1,0,0
594,33,15,unemployed,823876,5,0.05,Post Graduate,0.0,0,0,1,1,1
595,44,23,22.77,498492,0,0.23,Post Graduate,13.56,1,0,1,1,0
596,51yrs,32,47.19,764325,2,0.68,12th or less,53.21,1,0,1,1,0
597,42yrs,22,Rs 29 lacs,826898,4,0.05,12th or less,0.0,1,1,0,0,0
598,60yrs 3 months,42,50.95,594154,5,1.69,Bachelors,37.09,1,1,0,1,0
599,38,19,16.48,844294,3,0.41,Post Graduate,16.01,1,0,0,1,1
600,54yrs,33,10.65,533478,12,0.06,Bachelors,8.89,0,1,0,0,0
601,43,22,23.56,352198,5,0.3,Bachelors,19.584,1,n/a,0,0,1
602,59yrs,38,22.91,908442,2,0.58,Post Graduate,18.83,0,1,0,1,0
603,57yrs,39,20.43,821794,5,0.46,12th or less,19.13,1,1,1,0,1
604,21yrs 7 months,3,120.63,322453,1,1.32,Post Graduate,51.65,1,1,0,1,1
605,62yrs,42,Rs 19 lacs,521856,5,0.05,12th or less,0.0,1,0,0,1,1
606,40,22,9.63,841136,1,0.18,Bachelors,7.0,1,0,0,0,1
607,45yrs,25,Rs 32 lacs,369519,10,0.05,12th or less,0.0,0,0,1,1,0
608,26yrs 2 months,5,16.56,975326,2,0.42,12th or less,12.39,0,1,0,1,0
609,50yrs 10 months,28,25.62,155509,2,0.73,Bachelors,30.991,1,1,1,1,0
610,40yrs 7 months,19,19.98,191895,1,0.27,Bachelors,20.51,0,1,1,1,1
611,29yrs,11,41.68,375562,4,0.64,12th or less,7.82,1,1,0,1,1
612,38yrs,19,Rs 11 lacs,626016,4,0.05,12th or less,0.0,0,1,0,1,1
613,60,42,11.06,246578,2,0.09,Bachelors,10.1,1,0,1,0,0
614,23yrs 3 months,3,15.34,294686,1,0.12,Bachelors,6.11,1,1,1,0,0
615,56yrs,34,15.98,129638,4,0.36,12th or less,19.11,1,0,1,0,0
616,26yrs 8 months,8,25.77,788755,0,0.44,Bachelors,23.26,0,0,0,1,0
617,64yrs,46,20.68,602036,5,0.61,Bachelors,5.46,0,1,0,0,0
618,58,39,30.56,655994,3,0.52,12th or less,32.14,0,1,1,1,0
619,21,0,9.08,147244,1,0.1,12th or less,7.42,0,1,0,1,0
620,39,19,9.14,392191,4,0.05,Bachelors,8.13,1,1,1,0,0
621,58yrs 4 months,38,22.7,673791,10,0.5,Bachelors,7.44,1,1,1,0,1
622,48yrs 7 months,28,41.98,754006,2,0.86,Bachelors,12.12,0,0,0,0,1
623,29yrs 2 months,8,11.03,695965,5,0.24,Bachelors,8.73,1,1,0,0,1
624,30yrs,12,23.57,279968,3,0.28,12th or less,26.07,1,1,1,1,0
625,44yrs,22,6.34,400252,2,0.2,Bachelors,5.64,1,1,0,0,1
626,46,24,13.56,650529,3,0.37,12th or less,11.84,1,0,1,0,0
627,28yrs,9,24.59,736523,4,0.56,Bachelors,19.48,1,0,1,1,0
628,25yrs 3 months,5,17.18,425102,2,0.33,Bachelors,7.08,1,0,0,0,1
629,33,15,20.36,451282,2,0.5,Bachelors,8.67,1,1,0,0,1
630,42yrs,23,20.32,644166,5,0.32,Bachelors,24.46,0,0,1,0,1
631,54,33,17.81,562903,4,0.21,Bachelors,20.04,1,0,1,0,1
632,45yrs 5 months,24,29.54,926982,5,0.23,Post Graduate,9.66,1,1,0,1,1
633,43yrs,24,24.75,918813,2,0.47,12th or less,5.7,1,1,0,1,0
634,61,42,9.36,356093,4,0.31,12th or less,11.83,1,1,1,0,1
635,41,20,41.88,575993,0,1.39,Post Graduate,23.31,1,1,1,0,1
636,23,1,16.22,912954,2,0.29,Bachelors,18.08,1,1,1,1,0
637,28yrs 5 months,6,94.64,181771,1,1.78,Bachelors,101.29,1,0,0,1,1
638,59,39,61.12,396053,0,1.99,Post Graduate,26.43,1,0,0,0,0
639,59yrs,37,30.19,267033,4,0.99,Bachelors,6.65,1,1,1,0,0
640,42yrs 5 months,,n/a,444692,2,0.05,Bachelors,0.0,0,0,0,0,1
641,65yrs 4 months,45,15.79,529808,0,0.37,Bachelors,3.42,1,0,1,0,0
642,31yrs,12,49.33,125291,5,1.49,12th or less,16.05,1,0,1,1,1
643,43,23,61.02,546708,1,0.68,12th or less,19.5,1,0,0,0,0
644,36,16,n/a,398818,5,0.05,Bachelors,0.0,1,0,1,0,1
645,48,26,Rs 53 lacs,698791,12,0.05,Bachelors,0.0,1,1,0,1,0
646,55yrs,34,18.4,378270,3,0.33,12th or less,23.7,1,1,0,1,0
647,62,44,27.13,884723,2,0.69,12th or less,31.19,0,n/a,0,0,1
648,49,30,unemployed,965120,4,0.05,12th or less,0.0,1,0,1,1,0
649,58,37,13.16,835731,0,0.19,Bachelors,7.72,1,1,0,1,1
650,26,6,12.09,401065,1,0.33,12th or less,12.06,0,0,0,1,1
651,34,12,unemployed,996392,5,0.05,Post Graduate,0.0,1,1,0,0,0
652,49yrs 7 months,29,56.81,190198,3,0.27,12th or less,29.22,1,0,0,0,0
653,48,28,22.81,492549,0,0.64,Bachelors,16.34,0,1,0,1,0
654,30yrs 9 months,8,31.44,849740,3,0.55,12th or less,15.39,1,0,0,0,1
655,24,4,Rs 78 lacs,548590,2,0.05,12th or less,0.0,1,1,0,1,1
656,44yrs,22,unemployed,217229,2,0.05,12th or less,0.0,0,1,0,1,0
657,22yrs,4,23.93,632216,0,0.57,Bachelors,5.2,1,1,1,1,1
