sentence,abbreviation,expansion
Clinicians discussed tachypnea and dyspnea when referring to SOB.,SOB,Shortness of Breath
The SOB indicated cyanosis and dyspnea during evaluation.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
Clinicians discussed dyspnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus wheezing were documented.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus tachypnea were documented.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of tachypnea.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus wheezing were documented.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus wheezing were documented.,SOB,Shortness of Breath
Clinicians discussed cyanosis and wheezing when referring to SOB.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
Clinicians discussed dyspnea and tachypnea when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed wheezing and tachypnea when referring to SOB.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of dyspnea.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of dyspnea.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus tachypnea were documented.,SOB,Shortness of Breath
Clinicians discussed dyspnea and wheezing when referring to SOB.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
The SOB indicated wheezing and dyspnea during evaluation.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
The SOB indicated dyspnea and cyanosis during evaluation.,SOB,Shortness of Breath
wheezing was noted near the SOB context along with cyanosis.,SOB,Shortness of Breath
Clinicians discussed dyspnea and tachypnea when referring to SOB.,SOB,Shortness of Breath
The SOB indicated wheezing and dyspnea during evaluation.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of tachypnea.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
Clinicians discussed cyanosis and dyspnea when referring to SOB.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
Clinicians discussed cyanosis and wheezing when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed tachypnea and wheezing when referring to SOB.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
wheezing was noted near the SOB context along with tachypnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus dyspnea were documented.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus tachypnea were documented.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus wheezing were documented.,SOB,Shortness of Breath
The SOB indicated dyspnea and wheezing during evaluation.,SOB,Shortness of Breath
The SOB indicated tachypnea and wheezing during evaluation.,SOB,Shortness of Breath
SOB related findings such as wheezing plus cyanosis were documented.,SOB,Shortness of Breath
Clinicians discussed wheezing and dyspnea when referring to SOB.,SOB,Shortness of Breath
dyspnea was noted near the SOB context along with tachypnea.,SOB,Shortness of Breath
The SOB indicated dyspnea and cyanosis during evaluation.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus dyspnea were documented.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of tachypnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus wheezing were documented.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus dyspnea were documented.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
wheezing was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
Clinicians discussed cyanosis and tachypnea when referring to SOB.,SOB,Shortness of Breath
SOB related findings such as wheezing plus dyspnea were documented.,SOB,Shortness of Breath
cyanosis was noted near the SOB context along with tachypnea.,SOB,Shortness of Breath
Clinicians discussed tachypnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed cyanosis and dyspnea when referring to SOB.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus wheezing were documented.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus cyanosis were documented.,SOB,Shortness of Breath
Clinicians discussed tachypnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
dyspnea was noted near the SOB context along with tachypnea.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with wheezing.,SOB,Shortness of Breath
The SOB indicated dyspnea and wheezing during evaluation.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
Clinicians discussed wheezing and tachypnea when referring to SOB.,SOB,Shortness of Breath
wheezing was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
The SOB indicated dyspnea and tachypnea during evaluation.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of tachypnea.,SOB,Shortness of Breath
Clinicians discussed cyanosis and wheezing when referring to SOB.,SOB,Shortness of Breath
The SOB indicated wheezing and dyspnea during evaluation.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
Clinicians discussed cyanosis and dyspnea when referring to SOB.,SOB,Shortness of Breath
The SOB indicated wheezing and dyspnea during evaluation.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with cyanosis.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus cyanosis were documented.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus tachypnea were documented.,SOB,Shortness of Breath
wheezing was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
SOB related findings such as dyspnea plus wheezing were documented.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of cyanosis.,SOB,Shortness of Breath
dyspnea was noted near the SOB context along with cyanosis.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
Clinicians discussed wheezing and tachypnea when referring to SOB.,SOB,Shortness of Breath
The SOB indicated tachypnea and dyspnea during evaluation.,SOB,Shortness of Breath
Clinicians discussed dyspnea and wheezing when referring to SOB.,SOB,Shortness of Breath
The SOB indicated tachypnea and cyanosis during evaluation.,SOB,Shortness of Breath
Clinicians discussed dyspnea and wheezing when referring to SOB.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
dyspnea was noted near the SOB context along with wheezing.,SOB,Shortness of Breath
cyanosis was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
The SOB indicated wheezing and cyanosis during evaluation.,SOB,Shortness of Breath
cyanosis was noted near the SOB context along with tachypnea.,SOB,Shortness of Breath
Assessment showed cyanosis; SOB signified presence of wheezing.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus wheezing were documented.,SOB,Shortness of Breath
Clinicians discussed cyanosis and dyspnea when referring to SOB.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of tachypnea.,SOB,Shortness of Breath
cyanosis was noted near the SOB context along with wheezing.,SOB,Shortness of Breath
Clinicians discussed dyspnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of dyspnea.,SOB,Shortness of Breath
Assessment showed tachypnea; SOB signified presence of dyspnea.,SOB,Shortness of Breath
Assessment showed wheezing; SOB signified presence of dyspnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus cyanosis were documented.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus tachypnea were documented.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
cyanosis was noted near the SOB context along with wheezing.,SOB,Shortness of Breath
The SOB indicated cyanosis and dyspnea during evaluation.,SOB,Shortness of Breath
SOB related findings such as wheezing plus tachypnea were documented.,SOB,Shortness of Breath
The SOB indicated cyanosis and tachypnea during evaluation.,SOB,Shortness of Breath
The SOB indicated tachypnea and wheezing during evaluation.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with dyspnea.,SOB,Shortness of Breath
SOB related findings such as tachypnea plus wheezing were documented.,SOB,Shortness of Breath
SOB related findings such as cyanosis plus wheezing were documented.,SOB,Shortness of Breath
Clinicians discussed cyanosis and dyspnea when referring to SOB.,SOB,Shortness of Breath
Clinicians discussed dyspnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
SOB related findings such as wheezing plus dyspnea were documented.,SOB,Shortness of Breath
Clinicians discussed dyspnea and cyanosis when referring to SOB.,SOB,Shortness of Breath
tachypnea was noted near the SOB context along with cyanosis.,SOB,Shortness of Breath
SOB related findings such as wheezing plus tachypnea were documented.,SOB,Shortness of Breath
Assessment showed dyspnea; SOB signified presence of wheezing.,SOB,Shortness of Breath
The SOB indicated positioned and bedside during evaluation.,SOB,Side of Bed
positioned was noted near the SOB context along with bedside.,SOB,Side of Bed
Clinicians discussed positioned and nursing when referring to SOB.,SOB,Side of Bed
The SOB indicated nursing and transfer during evaluation.,SOB,Side of Bed
SOB related findings such as nursing plus positioned were documented.,SOB,Side of Bed
Assessment showed positioned; SOB signified presence of bedside.,SOB,Side of Bed
SOB related findings such as nursing plus positioned were documented.,SOB,Side of Bed
Assessment showed bedside; SOB signified presence of nursing.,SOB,Side of Bed
Assessment showed positioned; SOB signified presence of bedside.,SOB,Side of Bed
bedside was noted near the SOB context along with nursing.,SOB,Side of Bed
Clinicians discussed positioned and nursing when referring to SOB.,SOB,Side of Bed
The SOB indicated nursing and positioned during evaluation.,SOB,Side of Bed
SOB related findings such as nursing plus transfer were documented.,SOB,Side of Bed
SOB related findings such as nursing plus positioned were documented.,SOB,Side of Bed
Assessment showed positioned; SOB signified presence of transfer.,SOB,Side of Bed
The SOB indicated nursing and positioned during evaluation.,SOB,Side of Bed
transfer was noted near the SOB context along with bedside.,SOB,Side of Bed
